ScripCode,ScripId,BSE Exclusive,Status,GroupName,GSM,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Unsolicited_SMS,Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Filler4,Filler5,Pledge,Add-on_PB,Total Pledge,Social Media Platforms,ESM,Loss making,The Overall encumbered share in the scrip is more than 50 Percent.,Under Z Group,Company has failed to pay Annual listing fee,Filler12,Derivative contracts in the scrip to be moved out of F and O,Filler13,Filler14,Filler15,Filler16
539447,BEARDSELL,N,A,T,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539437,IDFCFIRSTB,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539436,COFFEEDAY,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539435,RFSL,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539434,BRIPORT,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539433,INDOGLOBAL,Y,S,Z,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,0,100,,100,,,,
539428,TEJNAKSH,Y,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539410,MUZALI,Y,S,Z,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539409,NEERAJ,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539408,KUBERJI,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539407,GENCON,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539406,SWAGTAM,Y,S,XT,3,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539405,DITCO,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539404,SATIN,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539403,ARAMBHAN,Y,S,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539402,NAKSH,Y,A,B,0,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539401,PJL,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539400,MALLCOM,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539399,BELLACASA,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539398,VISHALBL,Y,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539393,KCL,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539391,ACME,Y,A,Z,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539384,KRISHNACAP,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539383,MINFY,Y,A,Z,1,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539378,SML,Y,A,XT,0,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539363,SKC,Y,S,Z,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,0,100,,100,,,,
539359,PRITIKAUTO,N,A,T,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539354,POLYSPIN,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539353,SALAUTO,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539352,PBFL,Y,S,MT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539346,SADBHIN,N,A,T,0,100,100,100,100,100,100,,,100,100,100,100,1,100,0,100,100,,100,,,,
539337,WAAREE,Y,A,MT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539336,GUJGASLTD,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539335,CHPLIND,Y,S,Z,100,100,100,100,100,100,100,,,100,100,100,100,100,0,100,0,0,,100,,,,
539334,SHREEPUSHK,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539332,NAVKARCORP,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539331,VETO,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539314,UNIAUTO,Y,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539310,THINKINK,Y,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539309,RAMASTEEL,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539304,CANOPYFIN,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539302,POWERMECH,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539301,ARVSMART,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539300,AKSPINTEX,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539291,VASUDHAGAM,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539290,OSWALGREEN,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539289,AURUM,N,A,T,100,100,100,100,100,100,100,,,100,100,100,100,100,0,100,100,100,,100,,,,
539288,AVI,Y,A,X,0,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539287,ORTINLAB,N,A,B,0,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539278,SYMBIOX,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539277,ALSTONE,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
539276,KAYA,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,0,100,100,100,,100,,,,
539275,MSL,Y,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539273,PECOS,Y,A,MT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539268,SYNGENE,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539267,SAMSRITA,Y,A,X,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539266,CONCRETE,Y,S,XT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
539265,AMRAFIN,Y,A,MT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
539255,STARDELTA,Y,A,XT,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
539254,ADANIENSOL,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
