New Entries:
| MAGELLANIC CLOUD LIMITED            | B                                   | T                    |
| Ahluwalia Contracts (India) Limited | B                                   | A                    |
| Harish Textile Engineers Limit      | XT                                  | X                    |
| BRIJLAXMI LEASING & FINANCE LT      | X                                   | XT                   |
| Softtech Engineers Limited          | T                                   | B                    |
| PREMIER SYNTHETICS LTD.             | X                                   | XT                   |
| ANUPAM FINSERV LIMITED              | X                                   | XT                   |
| N.D.METAL INDUSTRIES LTD.           | X                                   | XT                   |
| GLANCE FINANCE LTD.                 | X                                   | XT                   |
| ANSAL PROPERTIES & INFRASTRUCT      | T                                   | Z                    |
| LOOKS HEALTH SERVICES LIMITED       | XT                                  | X                    |
| NPR FINANCE LTD.                    | X                                   | XT                   |
| KCP Sugar and Industries Corporation Limited | T                                   | B                    |
| Manaksia Aluminium Company Limited  | B                                   | T                    |
| 20 Microns Limited                  | T                                   | B                    |
| New Delhi Television Limited        | A                                   | B                    |
| Navoday Enterprises Limited         | MT                                  | M                    |
| Madhucon Projects Limited           | B                                   | T                    |
| Wherrelz IT Solutions Limited       | MS                                  | TS                   |
| INDRAYANI BIOTECH LTD.              | X                                   | XT                   |
| ARNOLD HOLDINGS LTD                 | X                                   | XT                   |
| PTC India Financial Services Limited | B                                   | T                    |
| Saumya Consultants Ltd.             | X                                   | XT                   |
| BNR UDYOG LTD.                      | X                                   | XT                   |
| Centum Electronics Limited          | T                                   | B                    |
| SHREE HARI CHEMICALS EXPORT LT      | X                                   | XT                   |
| ISF LIMITED                         | XT                                  | X                    |
| Mukta Agriculture Limited           | X                                   | XT                   |
| Emerald Leisures Limited            | XT                                  | X                    |
| Dishman Carbogen Amcis Limited      | B                                   | A                    |
| GANGA PAPERS INDIA LTD.             | X                                   | XT                   |
| INTEGRA TELECOMMUNICATION & SO      | X                                   | XT                   |
| KESAR INDIA LIMITED                 | MT                                  | M                    |
| Artemis Electricals and Projec      | B                                   | T                    |
| Suryoday Small Finance Bank Limited | B                                   | A                    |
| FRESHTROP FRUITS LTD.               | X                                   | XT                   |
| Emkay Global Financial Services Limited | B                                   | T                    |
| JAYATMA INDUSTRIES LIMITED          | XT                                  | X                    |
| SARTHAK INDUSTRIES LTD.             | XT                                  | X                    |
| Venky's (India) Limited             | A                                   | B                    |
| H.P.COTTON TEXTILE MILLS LTD.       | X                                   | XT                   |
